stage,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0.28,1.13,0,0,0
21Day,0,0,0,0,0.37,0.37,0.37,0,0.37
3Month,0,0,0.31,0,0.21,0,0,0,0.31
22Month,0.14,0.27,0.14,0,0.14,0,0,0.14,0
