stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0.28,0.56,0,1.13,0,0,0,15.22,5.92,0,0.28,0.85,0,0,1.13,0.28,0,0.56,0,0,0
21Day,0.37,0,0,1.85,0,0.74,0,0,0,0,0.37,0,0,0.37,0,0.37,0,2.22,0,0.37,0,7.4,2.59,0,0,0.74,0.37,0,0.37,0,0.37,0,0,0,0.74
3Month,0.1,0.52,0.21,6.03,0.31,0,0.1,0.73,0.21,0.1,6.55,0.62,0.31,2.6,0.1,2.29,0.94,1.87,0,0.52,0.62,0.42,0.1,0.62,0.52,0,0.21,4.78,0.1,0,0,0.1,0.62,7.91,0.21
22Month,0,0,0,0.14,0.14,0,0,0,0.68,0,2.32,1.64,0.27,0.27,0,0.27,0.14,0.55,0.55,0,0.14,0.14,0.14,0.41,0.14,0,0.14,0.41,0,0.14,0,0,0.14,0,0.14
