stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0
22Month,0.27,0,0.14,0.96,0.14,0.14,0.14,0.27,0.14,0.14,0,0,0.14
