stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0
72hpf,0.85,0,0.28,0.28,0,0,0,0.28,0,0,0.56,0.85,0,1.13,0,0,0.28,13.25,2.25,1.41,0,1.97,0.28,0.56,0
21Day,0.37,0.37,1.85,0.37,0,0,0,0.37,0,0,0,0.74,0,2.59,0,0,0,9.25,0.74,2.59,0,0.37,1.11,0,0.37
3Month,0,0.31,0.62,0,0.1,0.21,0,0.42,0.1,0,0,0,0,0.21,0.1,0,0,0.1,0,0,0.1,0,0,0,0
22Month,0,0.14,0.82,0,0,0.41,0.14,10.11,0,1.23,0,0.14,0.41,1.09,0,0.14,0.14,0,0,0,0.27,0.14,0,0,0
