stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,6,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0
21Day,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0,0,0,0.1,0.1,0.52,0,0,0,0,0.1,0.21
22Month,0,0.14,0.27,0.14,0.96,0,0,0.14,0,0,0,0,0.14
