stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0,3.66,0,0.56,0,0,0,0.28,0.56,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,2.96,0,2.59,0,0.37,0,0.37,0.37,0,0.37,0.37,0.37,1.85,0,1.11,0,0,0,0.74,0,0,0.74,0,0,0,0,0,0.37
3Month,0,0.21,0.21,4.89,0.1,0,0.1,0.1,0.73,0.62,3.33,0.42,0,1.14,0.31,0.31,0.83,0.21,0.1,0.31,0.42,0.21,0,0.21,0.1,0.31,1.35,0,0.1,0.52,1.14
22Month,0,0.27,0.27,0.68,0,0,0.14,0,0.14,0.41,5.06,0.27,0,0.55,0.14,0.27,0.41,0.27,0,0,0,0.27,0,0.27,0,0,0.27,0,0,0,0.27
