stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,32.93,0.37,0.37,0,0.37,0,0.37,0,0.37,0,0.37,5.55,1.11,0.74,0,0,9.62,0,1.11,0.74,0,0,0,0.37,0.74,0,0,0,0,0,1.48
3Month,0,0.1,0,32.14,0,0,0.52,0.73,0,3.33,0.94,0,2.08,1.46,1.56,0.73,0.94,0.21,0,108.91,1.14,0.42,0,0.1,0.1,0,0,0.73,0.42,0,0.1,0.1,0.21,0.31
22Month,0.14,0.27,0.55,22.14,0,0,0.68,0.55,0.55,6.01,0.27,0,0.82,0.14,0.14,1.64,1.64,0,0.68,62.45,0.14,0,0,0.14,0.14,0.14,0,0.14,0,0.14,0,0.14,0,0.14
