stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4,0,9,0,0,0,0,0,0,0,1,1,2,6,0,0,6,640,0,0,0,0,2,0,0,0,0
72hpf,12.97,2.82,9.86,2.82,14.09,0.28,0,0,0,0,2.25,18.04,2.54,21.14,0.28,1.13,131.9,657.55,0.85,2.54,24.52,0.56,485.62,0.56,0,1.69,0
21Day,4.44,0,12.58,1.48,4.81,0.37,0.37,0.37,0.74,0.37,0.37,1.85,0.74,4.44,0.37,1.48,9.99,131.35,0,1.11,0,4.44,83.99,0.74,1.11,0.37,0.37
3Month,0,0,0.21,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.42,0,0,0,0
