stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,1.69,0,4.79,0,0.28,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,2.22,2.22,2.59,0.37,0,0.37,0,0.37,0,0
3Month,0,0.31,1.14,0,0,0.1,0.1,0.31,0.1,0.21,0,0.21,0.42,0.52,0.42,0.1,0,0,0.21,1.14,0,3.95,0.21
22Month,0,0.14,0.27,0,0,0.68,7.65,1.09,0,0,0,0,0.41,0.55,0.55,0.27,0,0,0,0.27,0,0,0
