stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,27,2,0,0,0,0,0,0,0,0,0,0
72hpf,5.92,1.69,0,4.23,3.38,2.82,0,0,0,0,0,0,0,0,0,0,0.85,8.74,0,6.76,0,0.56,0,634.16,51.86,0.85,1.13,9.3,0,0,5.92,13.81,2.82,0.85,0,0
21Day,2.96,0,1.11,6.66,1.48,7.03,0,0.74,0,0.74,0,0,0,0.74,1.48,1.11,0,1.11,1.11,9.99,0,0,1.11,225.69,15.54,1.48,0.74,4.07,4.44,0.74,2.96,9.62,3.7,0.74,0,2.22
3Month,0.1,0.62,0,2.39,0.62,0,0,0,0.21,0.62,0.21,0,1.77,0.31,0,0.42,0,0.94,0.1,4.16,0.21,0,0.83,3.95,0,2.29,0.21,0.1,0.1,1.04,0.1,0.31,0,0.21,3.74,0.31
22Month,0,0.55,0,1.64,0.27,0,0.27,0,0,0.55,0.27,0,8.88,0.27,0,1.09,0,0.27,0.14,3.28,0.41,0.14,0.55,3.69,0.41,3.42,0.14,0,0,2.73,2.19,1.78,0,0,0,0.14
