stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,1.87,0,0.1,0.21,2.81,0.21,0.31,0.21,0.73,0.21,0,0,0,0.1,0.21,0.1,0.1
22Month,0.14,0.27,0.41,0.14,0.27,0.27,6.01,0,0.68,0,0,0.55,0.27,0.14,0.14,0.27,0.41,0.68,0.14
