stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
3Month,0,0.42,0.1,0.42,0,0,0,0.21,1.77,0,0,0.1,0.1,0.1,0.1,0.21
22Month,0.14,0.41,0,2.87,0.14,0.55,0.55,0,3.01,0.14,0.14,0,0,0,0,0.27
