stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.56,0,0,0.56,1.69,0.56,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.74,0,0
3Month,0.21,0.1,0.31,0.21,0.21,0.1,0,0.83,0,4.06,0,0.21,0.1,0.21,0.1,0.21,0.1,0,0,0.1,0.1,0,0.1,0.1
22Month,0.14,0,0,0,0,0.55,0.14,0.55,0,0.14,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0.14
