stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,12,0,0,0,0,0,0,0,0,0,1,2,5,572,0,0,0,37,146,0,2,0,0,0,0,0,9,0,0,0
72hpf,9.86,1.41,0,5.92,5.64,3.38,0,0,0,0,0,0,0,2.25,4.79,1.13,284.38,0,0.28,9.58,46.5,39.46,0,32.98,0.28,0,2.82,0.28,0,12.4,0,0,0
21Day,5.55,0,0.37,7.4,1.85,3.7,0,0.37,0,0,1.11,0.74,1.11,1.11,1.48,1.48,165.01,0,0,29.6,10.36,6.66,0,5.18,2.96,0.37,0.37,0,2.22,12.58,0.37,0,1.48
3Month,0,2.6,0,2.6,0.1,0,0.1,0,0.21,0.21,1.04,0,0.52,0.1,0.31,0.42,3.74,1.87,0,2.91,0.21,0,0.62,0.1,0.1,0.42,0,0,0,2.18,0.1,0.1,0.21
22Month,0,0.41,0,0.14,0,0,0.27,0,0,0.27,1.09,0,0,0,0,0,1.64,0,0.14,0.41,0.27,0,0.68,0,0,0.41,0.14,0,0,0,0,0,0
