stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0.28,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,1.04,0.21,0.1,0,0.21,0.21,0,0.1,0,0.21,0.1,0.21,0.1,0,0,0.21,0,0.83,0.21,0.1
22Month,0,0.27,0.14,0.27,1.37,0.82,0,0.41,0.14,0,0.14,0,0,0,0,0,0,0,0.27,0,0.14
