stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0.28,1.69,0,0,0,0,0,0.56,0,0,5.07,0.28,0,0,0,1.41,2.54,0
21Day,0.37,0.37,0,1.48,0.37,0.74,0,0,0.37,0,0.74,0,1.85,0,0.37,0.37,0,6.29,19.98,0.37
3Month,0,0,0.21,0,0,1.25,0.1,0.21,0,0,0.1,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,5.33,0.14,0,0,0,0,0.27,0,0,0,0,0.27,0.14,0,0
