stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,14.66,0,0,0,0,0,0,1.13,0.28,0,0,0.28,0,0,0.28,0.56,1.97,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37
3Month,0.31,1.66,0,0.1,12.59,0.21,0,5.2,0.42,0,0.73,1.66,0.31,0.31,0.31,0.1,0,0,0,0.1,0,0,0,0,0.21,0.83,0,0,0,0.31
22Month,0.68,18.58,0.27,0,7.93,0.41,0.27,20.91,0.14,0.14,1.37,1.78,0.14,0.27,0.27,0,1.09,0.14,0.14,0,0,0.14,0.14,0,0.14,1.09,0.14,0.14,0,0.14
