stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0.28,0,0.56,0.56,0.28,0
21Day,0,0,0,1.11,0,0
3Month,0,0.1,0,0.1,0,0.1
22Month,0,0.68,0,0,0,0
