stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell
21Day,0,0,0.37,0,0,0,1.11,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.1,0.42,0.1,0.1,0.1,37.86,0.42,0.21,0.62,0.1,0.1,0.21,0.1,0.1,0,0.62,0.1
22Month,0,0,0,0,0,0.14,8.61,0,0,0,0,0,0,0,0,0,0,0
