stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0.37,0,2.22,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.42,0.83,0,0,0.31,0.21,0.21,0.21,0,0,0.31,0.1,0.1
22Month,0.27,0.14,2.05,0,0.27,0,0.27,0.14,0,0,0,0.27,0,0.27
