stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0,0.56,0.28,1.41,0,0,0,0,0,0,0,0,0.56,3.38,0.56,2.54,0,0.28,0,310.6,7.61,0.56,0.28,0,2.54,0.28,0,1.41,0,0.28,0.28,0,0,0
21Day,1.11,0.37,4.81,0,1.11,0,0,0,0,0,0,0.37,0.74,0,0.74,0.37,2.59,0,0.37,0,45.51,1.11,0,0,0,1.48,0.74,0.37,0.37,0.37,0.37,0,0,0,0.74
3Month,0.1,0,2.6,0.1,0,0,0.1,0.31,0.31,0.83,0.42,0.1,0.62,0.1,0.52,0.62,2.18,3.22,1.25,0.21,0.31,0,0.73,0,0,0.1,0.31,18.2,0,0,0,0,0.1,9.05,0.31
22Month,0,0.14,0.41,0,0,0.14,0,0,0.14,3.01,0,0,0.14,0,0,0.14,0.14,0.14,0,0,0.27,0,0.14,0.14,0.14,0,0,1.78,0.27,0,0,0,0,0,0.14
