stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,19,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0.28,1.13,0,0.28,6.48,1.69,0,0.28,0.85,0,0,0.28,0,0,0
21Day,0.37,0,5.92,0.37,0,0.74,0,0,0.74,0,0.74,0,0,0,0,1.48,0,0,0.74,0,0,0,0,0.37,0,0.37,0,0,0.37
3Month,0,0,1.25,0,0.1,0,0.1,0.1,0.83,0.1,0.1,0.52,0,0.1,0,0.42,0.21,0.21,0.21,0,0.1,0,0,0.42,22.88,0,0.21,4.26,0.31
22Month,0,0,0.27,0,0,0,0,0.14,0.82,0.14,0,0.14,0,0,0.27,0,0,0,0,0,0,0.14,0,0,3.01,0,0,0,0
