stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,8,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0.28,1.13,0,1.41,0,0.85,1.97,0.28,0,0.56,0,0,0,0.85,0
21Day,0,0.74,1.11,0,0,0.37,0,0,0,0,0.37,2.59,0.37,0,0,1.48,0,1.11,0,0.37,0.37,0,0.37
3Month,0,0,0.62,0.1,0,0.73,0,1.77,0,0.1,0.1,0.1,0,0.62,0,0,0,0,0.1,0.52,0,0,0
22Month,0,0.27,0.14,0,0.55,5.06,0.14,3.01,0,0,0.41,0.41,0,0.41,0,0,0.14,0,0,0.27,0,0,0.14
