stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,1.13,0.28,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.42,0.1,1.87,1.56,5.3,0,0.52,0.21,2.5,0.83,0.42,0.62,0.1,6.14,0.21,0.1,0,0,4.06,0.1,0.21,0.73,0.42
22Month,0,0.14,0.14,0.27,0.82,0.14,1.23,0,0.68,0,0.27,0,0,1.37,0,0,0,0.14,0,0,0.14,0,0
