stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,18.04,0.56,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,12.58,0.37,0,0,0.37,0,0,0,0,0
3Month,0,0,0.52,0,0.21,0.1,0,0.52,0.21,0,0.31,0,0,0,0.21,0,0.1,0.1,0,0.1,0,0.1,0.73,0,0.21,7.49,0.1
22Month,0,0.14,0.41,0.14,0,0.82,0.41,3.28,0,0.27,0.55,0,0.14,0.14,0.68,0.14,0,0.41,0.14,0,0.14,0,0.41,0.14,0,0,0.14
