stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0,0,0.31,0,0,0,0.21,0,0,0.1,0,0.42,0.21,0
22Month,0,0.27,0.27,0.14,2.32,0.14,0.27,0,0,0.14,0.14,0,0.14,0.41,0,0.14
