stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.56,1.13,0,1.13,0,0,0,40.59,5.07,0,0,0.28,0,0,0.85,0.28,0.56,0,0
21Day,1.11,0,1.11,0,0,0.37,0,0,0,0.37,0,0,0.74,0,2.59,0,0,0,14.06,0.74,0,0,2.22,0.74,0,0,0.37,0.37,0,0
3Month,0,0,2.7,0.1,0.1,0.21,0,2.18,0.21,0,0.62,0.21,0.62,0.52,0.42,0,0.1,0.42,0.1,0.1,0.21,0.1,0,0.31,22.88,0,0,0,0.1,5.62
22Month,0,0.27,0,0,0,0,0.55,1.78,0,0,0.14,0,0,0.14,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
