stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,12,0,1,0,0,4,73,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,2.25,0,0,0,0.28,6.76,8.46,0,0,0,3.66,0,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,18.87,0.74,1.11,0.74,7.03,0,0.37,0.37,0,4.07,3.7,0,0,0,3.7,1.48,0.37,0,1.11,0,0.37,0,0,0.37
3Month,0,0.42,0.31,14.15,0,0.1,0.1,0,2.6,0.94,0,0,6.55,1.56,0.21,66.05,0.73,8.32,0.94,7.59,0.52,0,0.42,0.31,0.21,0,0.42,0.21,0,0.52,0.83,14.67,0.31,0,0.1,0.1,0.62,2.08,1.14
22Month,0,0.96,0.68,10.8,0,0,0,0.27,4.78,1.91,1.64,0,11.48,0.68,0.14,110.28,0.27,9.43,1.23,10.8,0.14,0.41,0.41,0,0.14,0,0.68,0.55,0.14,0.41,0.27,3.28,0.27,0.14,0,0.14,0,0,0.27
