stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,3.1,0,0,0,0,0,0,0,0,1.13,1.13,0,0.56,0,0,0,0,6.48,3.1,0,0.28,0,0,1.97,0.28,0,0,0
21Day,0,0,0,2.59,0.74,0,0,0,0,0,0,0,0,0.37,2.22,0,1.48,0,0,0,0,1.85,1.11,0.37,0.37,0,0,0,0.37,0,0,0
3Month,0.21,0.42,0.31,18.93,0.83,0.62,0.1,0,0,5.72,1.46,0.1,1.46,3.43,0.62,0.73,2.91,0.21,0.1,0.21,0.83,2.91,0.1,0.73,0.1,0.73,4.47,0.31,0.62,0.21,132.1,0.94
22Month,0,0.55,0.27,11.07,0.14,0.27,0.96,0.27,0,9.57,0.55,0,2.19,0.82,0.41,0.68,1.64,0,0.41,0,0,0.68,0,0.68,0,0.14,4.1,0.14,0,0,0.68,0.14
