stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0
21Day,2.59,0.37,0.37,4.81,2.96,2.59,1.11,0.37,84.73,0.74,2.96,2.96,4.07,1.11,0.37,9.62,2.22,2.96,2.96,1.11,0.74,1.48,0.74,2.22
22Month,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
