stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.85,0,0.28,1.97,0,0,0,0,0,0.28,0,0.28,3.1,0,1.69,0,0.28,0,139.8,9.02,0,0,0,2.25,0,0,0.28,0,0,0.28,0,0
21Day,1.11,0.37,5.18,0,1.85,0,0.74,0,0,0,1.48,0.37,0,4.81,1.11,5.92,0,1.85,0,115.07,2.22,0,0.37,0,1.11,2.22,0,0.37,0.37,1.85,0,0,0.74
3Month,0,0,0.73,0,0,0.21,0.1,0.1,0.62,0.31,0,0.52,0.1,0.42,0.73,0.73,0,0.1,0.1,12.27,0,0,0.1,0,0,0,1.87,0,0,0,0,0.31,0.21
22Month,0,0.41,1.37,0,0,0.14,0,0,81.03,0.41,0.14,0.68,0,0.55,0.68,0.14,5.88,0.14,0,7.79,0,0.14,0,0.41,0,0.14,1.23,0,0,0,0,0,0
