stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,3.95,0,0,0,0,0,0.28,0,0,0.28,0.28,0,0.28,0,0
21Day,0,0,5.55,0,0,0,0,0,0,0,0,0.37,0,4.81,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,6.03,0.31,0.1,0.31,0.62,0,2.39,0.1,0,1.56,0.21,0.73,0.21,0.31,0.21,0,0.1,0,0,0.1,0,2.6,0,0,0.42,0.1
22Month,0,0.14,1.23,0,0,0.41,0.14,0.27,8.75,0.41,0.41,2.46,0.14,0.27,1.09,0.41,0,0.14,0.14,0.14,0.14,0,0,0.96,0,0,0,0.14
