stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.31,0.52,44.21,0.1,0.94,0.73,0,2.18,1.56,0.1,8.84,0.1,1.25,1.14,1.04,0.21,0,0.31,0.52,0.73,0.31,0.1,0.21,0.31,0.42,0.42,0.52,1.46
22Month,0.27,0.41,11.48,0,0.14,0.68,0.27,10.66,0.41,0.27,4.37,0.41,0.14,1.37,1.09,0,0.41,0,0,0.55,0.27,0,0,0,0.41,0.14,0,0.14
