stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0.56,0,0,0,0,0,0,0,0.28,1.41,0,1.69,0,0.28,117.25,4.79,0,0.28,4.79,0,0,0.28,0,0,2.82,0,0
21Day,0.37,0,0.74,0,1.85,0,0.37,0,0,0,0.37,0.74,0.37,0.37,1.11,3.33,0,0.74,58.09,2.22,0,0,0.37,0.74,0.37,0.74,0.37,0.74,0.74,0,0.37
3Month,0,0,0.42,0.1,0,0.1,0,0.1,0.94,0.42,0,0.31,0,0.42,0,3.02,0,0.21,2.7,0.31,0.21,0.1,0,0,0.21,0.1,0,0,0.73,0.1,0.42
22Month,0.14,0.14,0.14,0,0,0,0,0.41,3.14,0.14,0.14,0.55,0,0,0.27,1.09,0.27,0,1.23,0.14,0,0.14,0,0,0.55,0.27,0,0,0.14,0,0
