stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,0.85,1.41,0,0,0,0,0,0,0,0,0,0.56,0.85,0.85,9.58,0,0,0,0.28,6.2,8.46,0,0.56,0,19.73,0,0,1.13,0,0,0.56,0,0
21Day,0.74,0,0,8.88,0,1.85,0,0.74,0,0,0,0.74,0,0.74,0,0.37,2.96,1.11,6.29,0,0,0,0,3.33,7.4,0,1.48,0,5.92,0.37,0.37,0,0.37,0.37,0,0,0
3Month,0,0.31,0.1,1.87,0,0,0.1,0,0.1,0.1,0,13.21,3.95,0.1,1.04,0.52,0.52,9.26,1.14,0.31,0,0,0.1,0.1,0.1,0.1,0.42,0,0.1,0.52,6.66,0,0,0,0.31,4.26,1.04
22Month,0,0.96,0.27,7.93,0.14,0,0.14,0,2.46,0.68,4.65,62.04,0.68,0.96,9.84,0.14,0.55,7.24,3.42,0,0.55,0.14,0,0.27,0.27,0.27,0.41,0.41,0.14,0,4.24,0.14,0.27,0,0.27,0,0.27
