stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,2.25,1.13,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0.37,0,0,0,0,0,0,0.74,0,0.74,0,0.37,0,0,0,0.74,0,3.33,1.48,0,0,0,0,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0.1,0.21,0.94,0.1,0,0.31,0.73,0,0,2.7,0.73,0,0.52,0.21,0.1,0.31,0.73,0.21,0,0.1,0.1,0.62,0.1,0.42,0.1,0,0.21,0.62,25.38,0.31,0,0.42,0.42,35.47,0.94
22Month,0,0.68,0.27,1.78,0,0.14,0.27,1.64,0.41,0,9.57,1.37,0.14,0.82,0,0.14,0.55,1.78,0,0.41,0.14,0,0.27,0.27,0.27,0,34.85,0,0,14.35,0.14,0.27,0.55,0,0,0.68
