stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0.56,1.41,0,0,0,10.99,3.66,0,0,0,2.25,0,0,0.56,0,0,0,0,0
21Day,3.33,0,0,2.96,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0.74,1.48,0.37,4.07,0,0.74,0,16.65,2.96,0.37,2.22,0,0.37,1.11,0,0.74,0.37,0.37,0,0,0
3Month,0,0.62,0,3.33,0,0,0,0,0.1,0.21,0,13,0.83,0.1,1.77,0.62,1.04,0.73,0.62,0.1,0.1,0.31,0.1,0,0.21,2.08,0,0,0.1,1.35,0,0,0,0.52,0.42,0.83
22Month,0,0.41,0.27,1.91,0,0,0,0.14,0,0.55,3.01,20.22,0.41,0.41,2.19,0.55,0.41,0.96,1.91,0.68,0.14,0,0.14,0,0.55,3.28,0.14,0,0.14,0.14,0.27,0,0,0,0,0.14
