stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,1,31,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,3.38,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,7.61,3.66,0,0,0,0.56,0,0,1.97,0,0,0,0
21Day,0,0,0,1.48,2.22,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,1.11,0,0.37,0,0,3.7,1.48,0,0.37,0,1.85,0,1.11,0,0.74,0,0,0
3Month,0.21,1.46,0.42,21.84,2.08,0,0.21,0.1,0.1,2.08,0.62,7.49,1.56,0.21,2.6,4.78,2.6,1.35,2.6,1.04,0,0.73,1.46,4.89,0.31,0.42,0.31,0,0,1.04,39.21,0.62,0.52,0.83,206.16,1.14
22Month,0,0.27,0,6.15,0.27,0,0,0.27,0,0.41,0.96,6.42,0.14,0,1.09,0.68,0,0.55,1.09,0.14,0.14,0.14,0.14,0.82,0,0,0,0.14,0.14,0,13.12,0.14,0.14,0,0.96,0.55
