stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,8.17,1.41,0.28,0,0.28,0,0,0,7.61,0.56,0,0,0
21Day,0.74,0,0,0.74,0,0,0,0,0.74,0,0.37,0,0.74,0,0.37,0,0,0,7.03,0.37,0,0.37,0,0.74,0,0.37,36.63,0.74,0,0,0.74
3Month,0,0.1,0.1,0.1,0,0.1,0.1,0,14.98,0.21,0,0.52,0.1,0.1,0.21,0.1,0,0,0.31,0,0.1,0,0,0.42,0,0.21,1.04,0,0,0.31,0.73
22Month,0,0,0,0.68,0,0.14,0.68,0.14,73.79,0,0,0.27,0,0.14,0.55,0,1.09,0.14,0.14,0.14,0,0,0,0.14,0.14,0.55,26.51,0,0.14,0,0.55
