stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell
24hpf,2,1,0,0,1,0
72hpf,0.56,0,0,0,0,0
21Day,0.74,0,0.37,0,0,1.48
22Month,0,0,0,0.27,0,0
