stage,Endothelial_cell,Granulocyte,Granulosa_cell,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,6,1,0,2,0
72hpf,0.28,0,0,0,0,0.56,0,0.28,0.28,0
21Day,0,0,0,0,0,1.85,0,0.74,0.37,0.37
3Month,0,0.1,0,0.1,0.1,0,0,0,0,0
22Month,0,0,0.14,0,0,0.27,0,0,0,0
