stage,Epithelial_cell__Brain_,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,1,0,0,0,0
72hpf,0.28,0.28,0,5.64,0.28,0.85,0.28
21Day,0,0,0,2.22,0,0,0
