stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,12.12,0,0.28,1.97,0.28,0,0,4.51,0,0,0,0,0
21Day,1.11,0,0.74,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,12.21,0,1.11,0.74,0.37,0.37,0,7.03,0.74,0,0.37,0,0
3Month,0.1,0,0.62,0,0.21,0.1,0.21,0.62,0.62,0.1,0,0.21,0.21,0.31,0,17.58,1.04,0.42,0.1,0,0.1,0,0,0,0.21,0,0.21,0.42
22Month,0,0.14,0.27,0,0,0,0,0.14,2.46,0,0.14,0,0,0.14,0,9.7,0.55,0.27,0,0,0,0.14,0,0.14,0.27,0,0,0
