stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.85,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0.85,0,0,0,0,3.95,1.97,0,0.85,0,0,0.28,0,0,0,0
21Day,0.37,0,1.85,0.37,0.74,0,0,0,0,0.74,0.37,0,1.11,0,1.48,0,0,0,0,2.22,1.85,0.37,0.74,0.37,0,0.74,0,0,0,0.37
3Month,0,0.52,2.29,0,0,0.42,0.42,1.87,0.42,0.1,0.31,0.21,1.04,0.83,0.31,0.21,0,0.21,0.31,0.1,0,0,0.1,0,1.04,0.1,0,0.52,0.52,0.73
22Month,0,0.41,0.27,0,0,0.14,0.55,1.78,0.14,0,0.41,0.14,0.14,0.68,0.27,0,0.14,0,0,0,0,0.41,0,0,0.14,0.14,0.14,0.14,0,0.41
