stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.97,2.25,0,0,0,0,0,0,0
21Day,0,2.96,0.37,0,0,0,0.74,0,18.13,1.11,0.37,0.37,0,0.37,0.37,0,0
3Month,0,1.46,0,0.42,0.62,0.31,0,0.1,0.73,0.21,0,0.1,0,0,0,0.42,0.1
22Month,0,0,0,0.68,1.37,0,0,0.27,0.14,0,0,0,0.14,0,0,0.14,0
