stage,Epithelial_cell,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,3,0
72hpf,0.28,0.28,0,0.85,0,0.28
21Day,0,0,0,0.74,0,0
3Month,0,0,0.1,0,0,0
