stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,10.73,0.74,0,0,0.37,0.37,0.37,0,0,0.37,0.74,0,0
3Month,0.1,0,0.21,1.87,0.21,0.62,0,2.5,0.94,0.1,0.83,0.1,0.62,0.52,0.42,0.21,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.62,0.1,0,0,0,0.1,0.94
22Month,0.14,0.68,0,1.23,0.14,0.82,0.82,11.62,0.27,0,2.05,0.14,0.41,1.64,0.68,0,0.55,0.14,0.55,0,0,0.27,0,0.14,0.68,0.14,0.14,0,0,0,0.41
