stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,5.36,0,0,0,22.83,1.41,0,0,1.41,0,0,0.28,2.54,3.95,0.28,0,0
21Day,0.74,0,0.37,1.48,0,3.7,0,0.74,0,0,0.37,0,1.11,0,0.74,0,0.74,1.11,0.37,15.54,0,1.11,0,46.62,1.48,0,0,0.74,1.85,0.74,0.37,3.7,8.51,0.74,0,1.11
3Month,0,0,0.1,2.6,0.21,0,0,0.21,0.83,0.94,1.14,0,8.01,0.52,0.31,1.66,0.52,0.62,1.25,11.34,0.42,0.31,0.21,0.73,0,0.52,0.1,0.1,0.21,11.34,0.31,0,0,0,1.14,1.35
22Month,0.14,0.27,0.14,1.78,0,0,0.14,0.14,0,0.55,1.5,0.14,14.21,1.09,0.14,0.82,0,0.41,1.23,2.32,0,0.27,0,1.78,0,0.27,0.14,0,0.14,8.34,0.68,0.14,0,0,0,0.41
