stage,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
72hpf,0,0,2.82,0,0,0
21Day,0.37,0.37,0.74,0.37,0.37,0.37
