stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.52,0,0,0,0,0,0.1,0,0,0.1,0
22Month,0.82,0.82,0,1.09,0.82,3.28,0.14,0.14,12.44,1.23,0.14,0.14,0.14,0.27,0,0.14
