stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,1,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0,4.23,0.85,2.82,0,0,0,0,0,0,0.28,0,0,0,0.28,34.95,0,2.54,0,1.69,0,269.16,13.53,0,1.13,3.38,0.56,0,3.38,1.13,1.69,1.13,0,0
21Day,0.74,0,8.88,0.37,0.37,0,0.74,0,0.37,0,0,0.74,0,0.74,0,0,1.48,0.74,4.81,0,0,0,55.5,3.33,0,0,0.37,1.48,0.37,0,0.74,2.96,0.74,0,0.74
3Month,0,0.1,0.83,0,0,0,0,0.21,0.21,0.1,0,1.66,0.42,0,0.31,0.21,0.42,0.31,0.42,0.21,0,0.1,0.42,0.1,0.1,0.1,0,0.1,0.83,0.1,0,0,0,0.21,0.21
22Month,0,0,1.64,0,0,0.14,0,0,0.41,1.64,0,6.97,0,0,0.27,0,0.14,0.55,0.68,0,0.55,0,0.14,0,0.41,0,0.14,0,1.23,0,0,0,0,0,0.27
