stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0.56,0.28,0,0,0,0,0,0.85,0.56,0,0,0.28,0,0,0,0,0
21Day,2.22,0,0,0,0,0,0,0,2.22,0,0,0,0.37,0,0,0,0
3Month,0,0.31,0.1,0.52,0.1,0.21,0.1,0.21,0,0.21,0,0,0,0.31,0,0.1,0.1
22Month,0,0,0,2.19,0.27,0,0,0.14,0,0,0.14,0,0,0.14,0.14,0,0
