stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.95,0,0.28,0,0,0,0,0,0,0,0,0,0,1.41,3.95,0,0,0,0,0.85,1.69,1.41,0,0,0,0,0,0,0,1.13,0,0,0,0,0
21Day,11.84,2.22,1.48,155.39,2.22,27.01,0,2.96,0.37,3.7,0,7.03,0.74,13.32,5.18,6.29,98.79,8.88,45.88,0.37,0,5.92,0,55.87,24.79,2.22,1.11,0,15.17,15.54,0,0,5.92,2.96,7.77,1.48,1.48,6.66
3Month,0.1,0,0,1.77,0,0,0,0,0.31,0.21,0,0,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0.21,0.1,0,0,0,0,0
22Month,0.82,4.51,0.96,14.48,0,0,0.68,0.27,1.91,40.86,2.05,24.19,192.81,1.5,3.14,0.82,2.32,115.06,9.02,0,3.42,0.82,0.27,0.14,0.14,0.55,0.41,0.55,0.82,0.68,0.27,0.55,0.68,0.41,0,0.14,0.41,5.19
