stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.41,0,0,0,0,0.28,0.56,0,0,0,0.85,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0,9.62,0,0.37,0,0,0,0,0,0,0.37,0.37,0,6.29,3.33,4.44,4.81,0,0,2.96,0,1.11,0,0,0,0,2.22,1.11,0,0,0,0.37,4.07,0,0,0
3Month,0,4.58,0.1,22.16,0.1,0,0.1,0,2.7,0,0,1.87,14.15,0.21,1.46,5.93,2.5,4.26,6.55,0.42,0,1.04,0.52,0.31,0.1,0.1,0.21,0,0.21,0.21,0.1,7.59,0.1,0,0.42,1.87,1.87,1.77
22Month,0,2.6,0.14,6.7,0,0,0,0.96,3.83,0.27,0,3.69,0.82,0.82,8.61,0.96,0.55,5.6,2.05,0,0.14,0,0,0,0,0.55,0,0.96,0,0,0,3.14,0,0,0,0.27,0,0.68
