stage,Endothelial_cell,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,1,0
72hpf,0,0,0,2.54,0,0.28
21Day,0,0,0,0.74,0,0
22Month,0.14,0.14,0.14,0,0,0
