stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,2.54,4.51,0.85,0,0,0,0,0,0,0,0,0.56,3.66,0,11.84,0,0,2.82,0.28,37.77,3.1,0,1.97,0,0.56,0.56,0,0,0,0,0,0
21Day,0.37,0.74,0.37,13.32,5.92,3.7,0.37,0,0,0,0.74,0,0.74,0.74,0,2.96,0.37,9.25,0,0.74,6.66,0,10.73,1.48,0,5.55,1.11,1.85,0,0,0.37,0,0,0,0
3Month,0.1,0.83,0,8.32,1.14,0,0,0,1.56,0,2.08,0.52,0.31,0.83,0.1,0.83,1.56,4.16,1.04,0,0.21,7.8,1.66,0.62,0.62,0,0.21,16.54,0,0.1,0,0.52,0.52,2.5,3.33
22Month,0.27,0.27,0.68,3.42,0.14,0,0,0.14,0.14,0.55,3.42,0,0.55,0.82,0,0.27,1.5,2.05,0.14,0.14,0,0.27,1.23,0.41,0,0,0,4.51,0.27,0,0,0.14,0,0,1.23
