stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,1.13,0,0,0,0
21Day,2.59,0,0,0,0,0,0.74,0,0.37,0,0
3Month,0.1,0.1,0,0.1,0.21,0,0.31,0,0,1.66,2.7
22Month,0.14,0,0.14,0.55,0,0,0,0,0,0,0
