stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,5,2,34,0,15,2,0,0,0,1,0,0,100,7,0,0,2,20,0,2,0,0,0,0,0,1,0,0
72hpf,0.28,0.56,0,38.9,0,10.71,0,0,0,0,2.54,0,0.28,0.56,0.28,0,0,2.25,2.25,0,0.28,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0.37,1.48,75.85,0,106.19,0,0,0.74,0,4.81,0,0.74,1.11,4.44,0,0.37,2.22,1.85,0.37,0,1.85,0,0.37,0,0.37,0,0,0
3Month,0,0.1,0.31,0,2.81,8.95,1.87,0,0.21,0.31,2.18,0.31,0.1,0.21,0.1,0,0,0,0,0,0,0.1,0.42,0,0,0,0,0.1,0.21
22Month,0.14,0.55,0.14,0,0.68,10.52,16.26,0.27,3.28,2.05,15.3,0.27,0.14,5.6,0.14,0.14,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0.27
