stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,1.97,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0.74,0,0.37,0.37,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0
3Month,0.83,0,0.1,1.66,0.21,0.1,0.1,2.6,0.21,0,0.83,0,0.52,0.83,0.42,0.1,0.1,0.1,0,0.21,0.1,0,0,1.04,0.21,0.1,0.21
22Month,0.27,0.14,0.27,0.14,0,0,0.41,1.64,0,0,0.27,0,0,0.27,0.27,0,0.27,0,0,0,0,0,0.14,0,0,0,0
