stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0.56,0,0,0,0,0
21Day,0,0,1.85,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0.21,0.1,1.87,0,0.52,0.94,0.73,0.62,0.21,2.08,0.21,0.62,0.73,0.42,0.21,0.1,0.21,0.1,0,0.21,0,0.1,0.21,0.73
22Month,0.27,0.27,0.27,0,0,1.37,1.09,0.55,0.14,1.91,0,0,0.27,0.14,0,0.27,0,0.14,0,0.14,0.14,0,0,0
