stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,29,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.85,0,0.56,0,0,0,0,0,0,0,0,0.28,0,1.41,0.85,0.28,4.51,0,0,0,0,9.3,4.51,0,0,0,1.13,0,0,0.28,0.28,0,0,0,0
21Day,0.74,0.37,4.44,0.37,1.11,0,4.44,0,0,0.37,0,0.37,0,2.59,0,0,0,0.74,6.29,0,0,0.37,0,3.33,4.44,0.37,0,0,1.48,1.11,0,1.11,0,0,0,0,0.37
3Month,0,0.62,4.37,0.1,0,0,0.21,0.1,0.31,0.52,0.1,12.9,0.94,0.52,0.42,1.04,1.56,0.94,5.2,1.66,0.21,0.52,0.31,0.42,0,0.62,0,0,0.21,0.52,2.6,0.1,0,0.21,1.98,0.31,1.77
22Month,0,0.96,1.09,0.14,0,0.14,0.27,0,0,0.55,0.55,9.84,0.14,0.68,0.41,0.14,0,0.96,1.78,0,0.14,0,0,0.41,0,0.27,0.14,0.14,0,0.14,0.14,0.14,0,0.14,0.55,0,0.27
