stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,3.1,0.28,0,0,0,0,0,0,0,0,65.39,0,0.56,0,0,0,1.97,0.85,0,0,0.85,0,0,0,0,0,0
21Day,0.37,0.37,22.94,0,0,0.37,0,0,0,1.48,0,0.74,26.64,1.48,0.74,0,0,0,0.37,0.74,0,0.37,0.37,1.11,0,0,0,0,0.37
3Month,0,0.1,1.87,0,0,2.5,0,0.83,12.38,0.1,0.52,0,0.73,0.83,0.21,0.1,0,0.21,0,0,0,0,0,0.1,0.21,0.1,0.1,0.21,0.31
22Month,0,0.14,1.5,0,0.14,9.84,0.14,6.29,13.94,0.27,0.55,0,0,1.23,0,0.14,0.14,0,0,0,0.14,0,0.14,0,0,0.41,0,0,0
