stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.31,0.73,0.21,0.94,0.42,1.66,0.21,0.21,0.21,0.52,0.21,0.1,0.21,0.1
22Month,0,0.27,0,0,0.55,1.91,0,0,0,0,0,0,0,0.14
