stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0,0.83,0.1,0,0.31,0.1,0,0.94,0.31,0.1,0.1,0.21,0.62,0.1,0.1,0.1,0.1,0,0.1,0,0,0.42,0.52,1.77
22Month,0,1.37,0.14,0.68,0.14,0.14,0.41,3.83,1.09,6.56,2.32,2.05,0.41,0,5.6,0.41,0,0.14,0.14,0.41,0,0.14,0.41,0.41,0,3.42
